,Word,POS,Lemma,Synonyms,Antonyms,Example,definition
169,lock,Verb,lock,['lock'],['unlock'],"[""The therapist noticed that the patient's knees tended to lock in this exercise""]",become rigid or immoveable
170,lock,Verb,lock,"['lock', 'interlock', 'interlace']",[],['He locked his hands around her neck'],hold in a locking position
171,lock,Verb,interlock,"['interlock', 'lock']",[],['They were locked in embrace'],become engaged or intermeshed with one another
172,lock,Verb,lock,['lock'],[],['He was locked in a laughing fit'],hold fast (in a certain state)
173,lock,Verb,lock_in,"['lock_in', 'lock_away', 'lock', 'put_away', 'shut_up', 'shut_away', 'lock_up']",[],"['The parents locked her daughter up for the weekend', 'She locked her jewels in the safe']",place in a place where something cannot be removed or someone cannot escape
174,lock,Verb,lock,['lock'],[],[],pass by means through a lock in a waterway
175,lock,Verb,lock,['lock'],[],[],build locks in order to facilitate the navigation of vessels
176,picked,Verb,pick,['pick'],[],"['She finally picked her successor', 'He picked his way carefully']",select carefully from a group
177,picked,Verb,pick,"['pick', 'pluck', 'cull']",[],"['pick mushrooms', 'pick flowers']",look for and gather
178,picked,Verb,blame,"['blame', 'find_fault', 'pick']",[],"[""Don't always pick on your little brother""]",harass with constant criticism
179,picked,Verb,pick,['pick'],[],['pick a fight or a quarrel'],provoke
180,picked,Verb,pick,['pick'],[],['pick meat from a bone'],remove in small bits
181,picked,Verb,clean,"['clean', 'pick']",[],['Clean the turkey'],"remove unwanted substances from, such as feathers or pits"
182,picked,Verb,pick,['pick'],[],['pick pockets'],pilfer or rob
183,picked,Verb,foot,"['foot', 'pick']",[],"['pick up the tab', 'pick up the burden of high-interest mortgages', 'foot the bill']",pay for something
184,picked,Verb,pluck,"['pluck', 'plunk', 'pick']",[],['he plucked the strings of his mandolin'],pull lightly but sharply with a plucking motion
185,picked,Verb,pick,"['pick', 'break_up']",[],['Pick open the ice'],"attack with or as if with a pickaxe of ice or rocky ground, for example"
186,picked,Verb,peck,"['peck', 'pick', 'beak']",[],[],hit lightly with a picking motion
